ID Concierto,Fecha,Descripcion,Genero,Codigo Artista,Nombre Artista,Email Manager,Num Integrantes
1,2025-06-01,Apertura Festival - Escenario Principal,ROCK,LP,null,null,0
2,2025-06-01,Noche Indie - Escenario Alternativo,ROCK,TSTM,null,null,0
3,2025-06-01,Pop Internacional - Escenario Pop,POP,TS,null,null,0
4,2025-06-02,Rock Clasico - Escenario Principal,ROCK,RHCP,null,null,0
5,2025-06-02,Electronic Night - Escenario Dance,ELECTRONICA,DAFT,null,null,0
6,2025-06-02,Acustico Especial - Escenario Intimo,POP,ED,null,null,0
7,2025-06-03,Rock Alternativo - Escenario Principal,ROCK,FOO,null,null,0
8,2025-06-03,EDM Fiesta - Escenario Dance,ELECTRONICA,CALVIN,null,null,0
9,2025-06-03,Pop Stars - Escenario Pop,POP,BILLIE,null,null,0
10,2025-06-04,Rock Progresivo - Escenario Principal,ROCK,MUSE,null,null,0
11,2025-06-04,K-Pop Fever - Escenario Pop,POP,BTS,null,null,0
12,2025-06-04,Techno Session - Escenario Dance,ELECTRONICA,AVII,null,null,0
13,2025-06-05,Indie Britanico - Escenario Alternativo,ROCK,AJ,null,null,0
14,2025-06-05,Pop Melodico - Escenario Principal,POP,COLD,null,null,0
15,2025-06-05,House Party - Escenario Dance,ELECTRONICA,MART,null,null,0
16,2025-06-06,Rock Epico - Escenario Principal,ROCK,IM,null,null,0
17,2025-06-06,Leyendas del Rock - Escenario Clasico,ROCK,QN,null,null,0
18,2025-06-06,Trance Journey - Escenario Dance,ELECTRONICA,TIESTO,null,null,0
19,2025-06-07,Hard Rock - Escenario Principal,ROCK,ACDC,null,null,0
20,2025-06-07,Divas del Pop - Escenario Pop,POP,ARIANA,null,null,0
21,2025-06-07,Dubstep Night - Escenario Dance,ELECTRONICA,SKRILL,null,null,0
22,2025-06-08,Rock Legendario - Escenario Principal,ROCK,GUNS,null,null,0
23,2025-06-08,RnB Soul - Escenario Pop,POP,WEEKND,null,null,0
24,2025-06-08,Progressive House - Escenario Dance,ELECTRONICA,DEADM,null,null,0
25,2025-06-09,Baladas Pop - Escenario Intimo,POP,ADELE,null,null,0
26,2025-06-09,Hip Hop y Pop - Escenario Principal,POP,DRAKE,null,null,0
27,2025-06-09,EDM Sunrise - Escenario Dance,ELECTRONICA,CALVIN,null,null,0
28,2025-06-10,Rock Potente - Escenario Principal,ROCK,LP,null,null,0
29,2025-06-10,Pop Icon - Escenario Pop,POP,BEY,null,null,0
30,2025-06-10,Electronic Paradise - Escenario Dance,ELECTRONICA,TIESTO,null,null,0
31,2025-06-11,Indie Rock - Escenario Alternativo,ROCK,TSTM,null,null,0
32,2025-06-11,Pop Sensation - Escenario Principal,POP,RIHANA,null,null,0
33,2025-06-11,Electro Beats - Escenario Dance,ELECTRONICA,MART,null,null,0
34,2025-06-12,Alternative Rock - Escenario Principal,ROCK,MUSE,null,null,0
35,2025-06-12,Urban Pop - Escenario Pop,POP,POST,null,null,0
36,2025-06-12,Bass Drop - Escenario Dance,ELECTRONICA,SKRILL,null,null,0
37,2025-06-13,Rock Sinfonico - Escenario Principal,ROCK,FOO,null,null,0
38,2025-06-13,Trap y Pop - Escenario Pop,POP,TRAVIS,null,null,0
39,2025-06-13,Future Bass - Escenario Dance,ELECTRONICA,DEADM,null,null,0
40,2025-06-14,Rock Britanico - Escenario Principal,ROCK,AJ,null,null,0
41,2025-06-14,Singer-Songwriter - Escenario Intimo,POP,TS,null,null,0
42,2025-06-14,Big Room - Escenario Dance,ELECTRONICA,MART,null,null,0
43,2025-06-15,Gran Final Rock - Escenario Principal,ROCK,LP,null,null,0
44,2025-06-15,Pop Finale - Escenario Pop,POP,TS,null,null,0
45,2025-06-15,Closing Party - Escenario Dance,ELECTRONICA,CALVIN,null,null,0
46,2025-06-16,After Party Rock,ROCK,RHCP,null,null,0
47,2025-06-16,After Party Pop,POP,BILLIE,null,null,0
48,2025-06-16,After Party Electronic,ELECTRONICA,TIESTO,null,null,0
49,2025-06-17,Concierto Especial Rock,ROCK,IM,null,null,0
50,2025-06-18,Concierto Sin Artista,POP,NOEXISTE,null,null,0
